Sexe	age	Chaussures	sacados	feder	anios_pract	numer_3000	boussole/GPS	Radio/Tel	TrousSecours	id_proc	Origine	Destination
H	38	4	1	0	15	20	1	1	1	FRA	France	Aneto
H	33	4	0	0	10	3	1	1	1	FRA	France	Aneto
H	38	3	1	1	15	2	0	1	1	CT	Espagne	Aneto
H	63	5	1	1	40	50	0	1	1	CT	Espagne	Aneto
H	23	3	1	0	0	1	1	1	1	FRA	France	Aneto
H	53	4	1	1	30	100	1	1	1	FRA	France	Aneto
H	28	4	1	1	5	15	1	1	1	FRA	France	Aneto
M	48	4	1	1	25	50	1	1	1	FRA	France	Aneto
H	38	3	1	1	15	15	1	1	1	PV	Espagne	Aneto
H	38	4	1	0	15	12	1	1	1	CT	Espagne	Aneto
H	43	3	1	0	20	4	0	1	1	M	Espagne	Aneto
M	23	1								NSNC	Autre pays	Aneto
H	23	2								NSNC	Autre pays	Aneto
H	43	5	1	1	20	3	0	1	0	EX	Espagne	Aneto
H	43	3	1	1	20	1	1	0	0	M	Espagne	Aneto
H	33	3	1	0	10	5	0	1	0	PV	Espagne	Aneto
M	33	3	1	0	10	5	0	1	0	PV	Espagne	Aneto
H	43	4	1	1	20	60	1	1	1	AR	Espagne	Aneto
H	33	3	1	1	10	6	1	1	1	GA	Espagne	Aneto
M	33	3	1	1	10	6	1	1	1	GA	Espagne	Aneto
H	33	3	1	0	10	1	1	1	1	CT	Espagne	Aneto
H	28	3	1	1	5	3	1	1	1	NSNC	Autre pays	Aneto
M	38	3	1	1	15	3	1	1	1	NSNC	Autre pays	Aneto
H	28	3	1	0	5	2	1	1	1	M	Espagne	Aneto
M	23	2	1	1		1	1	1	1	CT	Espagne	Aneto
M	23	2	1	0		1	1	1	1	CT	Espagne	Aneto
M	23	2	1	0		1	1	1	1	CT	Espagne	Aneto
H	23	2	1	0		1	1	1	1	CT	Espagne	Aneto
H	23	3	1	0		1	1	1	1	CT	Espagne	Aneto
H	23	3	1	0		1	1	1	1	CT	Espagne	Aneto
