rang annuel;titre;nationalité;sortie;mois;entrées (millions);annee;Type;nouvelle nationalité;Intervalle d'entrées;Nationalité simplifiée;Saison de sortie
16;LEGENDE DE ZORRO (LA);ETATS UNIS;26/10/2005;10;2,15;2005;Aventure;US;"[1;5[";US;Automne
17;HITCH EXPERT EN SEDUCTION;ETATS UNIS;16/03/2005;3;2,06;2005;Comédie;US;"[1;5[";US;Hiver
18;CHICKEN LITTLE;ETATS UNIS;07/12/2005;12;2,03;2005;Animation;US;"[1;5[";US;Automne
19;MARCHE DE L'EMPEREUR (LA);FRANCE;26/01/2005;1;1,86;2005;Documentaire;FR;"[1;5[";FR;Hiver
20;JOYEUX NOEL;FRANCE / ALLEMAGNE / GRANDE BRETAGNE / BELGIQUE / ROUMANIE;09/11/2005;11;1,86;2005;Film historique / Guerre;FR;"[1;5[";FR;Automne
21;ESPACE DETENTE;FRANCE;02/02/2005;2;1,77;2005;Comédie;FR;"[1;5[";FR;Hiver
22;AVIATOR;ETATS UNIS;26/01/2005;1;1,68;2005;Biopic/Biographie;US;"[1;5[";US;Hiver
23;MON BEAU PERE, MES PARENTS ET MOI;ETATS UNIS;16/02/2005;2;1,66;2005;Comédie;US;"[1;5[";US;Hiver
24;RAY;ETATS UNIS;23/02/2005;2;1,59;2005;Biopic/Biographie;US;"[1;5[";US;Hiver
25;THE ISLAND;ETATS UNIS;17/08/2005;8;1,55;2005;Science-fiction;US;"[1;5[";US;Été
26;BATMAN BEGINS;ETATS UNIS;15/06/2005;6;1,49;2005;Super-héros;US;"[1;5[";US;Printemps
27;FRERES GRIMM (LES);GRANDE BRETAGNE;05/10/2005;10;1,49;2005;Fantasy;GB;"[1;5[";GB;Automne
28;OLIVER TWIST;FRANCE / REPUBLIQUE TCHEQUE / GRANDE BRETAGNE;19/10/2005;10;1,45;2005;Aventure;FR;"[1;5[";FR;Automne
29;MATCH POINT;GRANDE BRETAGNE;26/10/2005;10;1,45;2005;Policier/Thriller;GB;"[1;5[";GB;Automne
30;TOUT POUR PLAIRE;FRANCE / BELGIQUE;16/03/2005;3;1,44;2005;Comédie;FR;"[1;5[";FR;Hiver
31;KIRIKOU ET LES BETES SAUVAGES;FRANCE;07/12/2005;12;1,37;2005;Animation;FR;"[1;5[";FR;Automne
32;NOCES FUNEBRES DE TIM BURTON (LES);GRANDE BRETAGNE;19/10/2005;10;1,36;2005;Animation;GB;"[1;5[";GB;Automne
33;CHATEAU AMBULANT (LE);ETATS UNIS;12/01/2005;1;1,31;2005;Animation;US;"[1;5[";US;Hiver
34;COCCINELLE REVIENT (LA);ETATS UNIS;03/08/2005;8;1,31;2005;Comédie;US;"[1;5[";US;Été
35;KINGDOM OF HEAVEN;GRANDE BRETAGNE;04/05/2005;5;1,28;2005;Film historique / Guerre;GB;"[1;5[";GB;Printemps
36;CHEVALIERS DU CIEL (LES);FRANCE;09/11/2005;11;1,28;2005;Action;FR;"[1;5[";FR;Automne
37;MON PETIT DOIGT M'A DIT;FRANCE;13/04/2005;4;1,26;2005;Comédie;FR;"[1;5[";FR;Printemps
38;ALEXANDRE;GRANDE BRETAGNE / FRANCE / PAYS BAS;05/01/2005;1;1,25;2005;Péplum;GB;"[1;5[";GB;Hiver
39;SIN CITY;ETATS UNIS;01/06/2005;6;1,23;2005;Action;US;"[1;5[";US;Printemps
40;TRANSPORTEUR 2 (LE);FRANCE;03/08/2005;8;1,23;2005;Action;FR;"[1;5[";FR;Été
41;CONSTANTINE;ETATS UNIS;16/02/2005;2;1,22;2005;Horreur;US;"[1;5[";US;Hiver
